seqnames	start	end	width
1	120500001	148000000	27500000
2	87000001	95500000	8500000
3	90500001	93500000	3000000
4	49000001	53000000	4000000
5	46000001	49500000	3500000
6	57000001	62500000	5500000
7	55500001	66000000	10500000
8	43500001	48000000	4500000
9	38500001	71000000	32500000
10	38500001	52000000	13500000
11	50500001	55000000	4500000
12	34500001	38500000	4000000
13	1	19500000	19500000
14	1	19000000	19000000
15	1	24000000	24000000
16	33500001	46500000	13000000
17	21000001	25500000	4500000
18	15000001	18500000	3500000
19	24500001	28500000	4000000
20	26000001	30000000	4000000
21	1	14500000	14500000
22	1	17000000	17000000
X	59000001	62500000	4500000
Y	1	7000000	7000000
Y	10000001	14000000	4000000
Y	23500001	59500000	36000000
