n_diff	tot_bins	prop_diff	index_cell	comp_cell
2214	6144	0.3603515625	AT23998-A138956A-R03-C34	AT23998-A138956A-R04-C58
2286	6135	0.3726161369193154	AT23998-A138956A-R03-C34	AT23998-A138956A-R05-C42
2212	6151	0.35961632254917897	AT23998-A138956A-R03-C34	AT23998-A138956A-R05-C64
1972	6141	0.321120338707051	AT23998-A138956A-R03-C34	AT23998-A138956A-R06-C31
2811	6151	0.4569988619736628	AT23998-A138956A-R03-C34	AT23998-A138956A-R06-C34
2318	6134	0.3778937072057385	AT23998-A138956A-R03-C34	AT23998-A138956A-R06-C54
1701	6134	0.2773068144766873	AT23998-A138956A-R03-C34	AT23998-A138956A-R07-C22
1926	6146	0.31337455255450697	AT23998-A138956A-R03-C34	AT23998-A138956A-R08-C36
2607	6162	0.4230769230769231	AT23998-A138956A-R03-C34	AT23998-A138956A-R08-C39
2541	6153	0.4129692832764505	AT23998-A138956A-R03-C34	AT23998-A138956A-R08-C41
3782	6167	0.6132641478838982	AT23998-A138956A-R03-C34	AT23998-A138956A-R08-C60
2373	6123	0.38755512003919645	AT23998-A138956A-R03-C34	AT23998-A138956A-R08-C62
2551	6139	0.41553999022642124	AT23998-A138956A-R03-C34	AT23998-A138956A-R08-C64
2305	6163	0.37400616582833035	AT23998-A138956A-R03-C34	AT23998-A138956A-R09-C17
2378	6142	0.38717030283295345	AT23998-A138956A-R03-C34	AT23998-A138956A-R09-C18
2455	6147	0.3993818122661461	AT23998-A138956A-R03-C34	AT23998-A138956A-R09-C57
2364	6140	0.38501628664495113	AT23998-A138956A-R03-C34	AT23998-A138956A-R09-C63
2758	5953	0.46329581723500757	AT23998-A138956A-R03-C34	AT23998-A138956A-R09-C66
2117	6162	0.3435572865952613	AT23998-A138956A-R03-C34	AT23998-A138956A-R10-C13
2240	6160	0.36363636363636365	AT23998-A138956A-R03-C34	AT23998-A138956A-R10-C21
2549	6138	0.4152818507657217	AT23998-A138956A-R03-C34	AT23998-A138956A-R10-C27
2170	6160	0.3522727272727273	AT23998-A138956A-R03-C34	AT23998-A138956A-R10-C33
2524	6147	0.4106068000650724	AT23998-A138956A-R03-C34	AT23998-A138956A-R10-C51
2099	6158	0.34085742124066254	AT23998-A138956A-R03-C34	AT23998-A138956A-R11-C09
5361	6169	0.8690225320149133	AT23998-A138956A-R03-C34	AT23998-A138956A-R11-C39
1996	6153	0.3243946042580855	AT23998-A138956A-R03-C34	AT23998-A138956A-R12-C48
2368	6107	0.38775176027509417	AT23998-A138956A-R03-C34	AT23998-A138956A-R12-C49
2403	6134	0.3917508966416694	AT23998-A138956A-R03-C34	AT23998-A138956A-R13-C25
1809	6153	0.2940029254022428	AT23998-A138956A-R03-C34	AT23998-A138956A-R13-C37
5520	6137	0.8994622779859867	AT23998-A138956A-R03-C34	AT23998-A138956A-R13-C52
2212	6112	0.3619109947643979	AT23998-A138956A-R03-C34	AT23998-A138956A-R14-C12
3996	6170	0.6476499189627228	AT23998-A138956A-R03-C34	AT23998-A138956A-R14-C30
2111	6155	0.3429731925264013	AT23998-A138956A-R03-C34	AT23998-A138956A-R14-C38
2147	6146	0.3493328994467947	AT23998-A138956A-R03-C34	AT23998-A138956A-R14-C57
2106	6121	0.34406142787126287	AT23998-A138956A-R03-C34	AT23998-A138956A-R14-C65
2238	6128	0.3652088772845953	AT23998-A138956A-R03-C34	AT23998-A138956A-R15-C09
2192	6148	0.3565387117761874	AT23998-A138956A-R03-C34	AT23998-A138956A-R15-C10
5311	6183	0.858968138444121	AT23998-A138956A-R03-C34	AT23998-A138956A-R15-C39
2102	6153	0.34162197302129044	AT23998-A138956A-R03-C34	AT23998-A138956A-R16-C13
1754	6124	0.28641410842586545	AT23998-A138956A-R04-C58	AT23998-A138956A-R05-C42
2159	6177	0.3495224218876477	AT23998-A138956A-R04-C58	AT23998-A138956A-R05-C64
2334	6173	0.3780981694475944	AT23998-A138956A-R04-C58	AT23998-A138956A-R06-C31
2994	6140	0.48762214983713353	AT23998-A138956A-R04-C58	AT23998-A138956A-R06-C34
1609	6138	0.26213750407298797	AT23998-A138956A-R04-C58	AT23998-A138956A-R06-C54
1970	6158	0.3199090613835661	AT23998-A138956A-R04-C58	AT23998-A138956A-R07-C22
2306	6152	0.3748374512353706	AT23998-A138956A-R04-C58	AT23998-A138956A-R08-C36
2153	6171	0.3488899692108248	AT23998-A138956A-R04-C58	AT23998-A138956A-R08-C39
1664	6154	0.2703932401689958	AT23998-A138956A-R04-C58	AT23998-A138956A-R08-C41
2344	6151	0.38107624776459115	AT23998-A138956A-R04-C58	AT23998-A138956A-R08-C60
1972	6137	0.32132963988919666	AT23998-A138956A-R04-C58	AT23998-A138956A-R08-C62
2178	6127	0.35547576301615796	AT23998-A138956A-R04-C58	AT23998-A138956A-R08-C64
1296	6149	0.21076597820783868	AT23998-A138956A-R04-C58	AT23998-A138956A-R09-C17
1840	6157	0.29884684099399056	AT23998-A138956A-R04-C58	AT23998-A138956A-R09-C18
2735	6146	0.44500488122356	AT23998-A138956A-R04-C58	AT23998-A138956A-R09-C57
1435	6159	0.23299236889105374	AT23998-A138956A-R04-C58	AT23998-A138956A-R09-C63
2816	5981	0.47082427687677647	AT23998-A138956A-R04-C58	AT23998-A138956A-R09-C66
1878	6142	0.3057635949202214	AT23998-A138956A-R04-C58	AT23998-A138956A-R10-C13
2049	6147	0.3333333333333333	AT23998-A138956A-R04-C58	AT23998-A138956A-R10-C21
2205	6163	0.3577803018010709	AT23998-A138956A-R04-C58	AT23998-A138956A-R10-C27
1322	6132	0.21559034572733202	AT23998-A138956A-R04-C58	AT23998-A138956A-R10-C33
2249	6167	0.3646829901086428	AT23998-A138956A-R04-C58	AT23998-A138956A-R10-C51
1685	6153	0.2738501543962295	AT23998-A138956A-R04-C58	AT23998-A138956A-R11-C09
5352	6170	0.8674230145867099	AT23998-A138956A-R04-C58	AT23998-A138956A-R11-C39
1959	6155	0.3182778229082047	AT23998-A138956A-R04-C58	AT23998-A138956A-R12-C48
1571	6135	0.2560717196414018	AT23998-A138956A-R04-C58	AT23998-A138956A-R12-C49
1508	6132	0.24592302674494454	AT23998-A138956A-R04-C58	AT23998-A138956A-R13-C25
1888	6150	0.3069918699186992	AT23998-A138956A-R04-C58	AT23998-A138956A-R13-C37
5265	6109	0.8618431821902112	AT23998-A138956A-R04-C58	AT23998-A138956A-R13-C52
1920	6142	0.3126017583848909	AT23998-A138956A-R04-C58	AT23998-A138956A-R14-C12
3934	6181	0.636466591166478	AT23998-A138956A-R04-C58	AT23998-A138956A-R14-C30
1533	6143	0.24955233599218624	AT23998-A138956A-R04-C58	AT23998-A138956A-R14-C38
1243	6151	0.20208096244513088	AT23998-A138956A-R04-C58	AT23998-A138956A-R14-C57
1506	6097	0.2470067246186649	AT23998-A138956A-R04-C58	AT23998-A138956A-R14-C65
1539	6163	0.24971604737952297	AT23998-A138956A-R04-C58	AT23998-A138956A-R15-C09
1645	6142	0.2678280690328883	AT23998-A138956A-R04-C58	AT23998-A138956A-R15-C10
5440	6178	0.8805438653285853	AT23998-A138956A-R04-C58	AT23998-A138956A-R15-C39
1107	6141	0.1802638006839277	AT23998-A138956A-R04-C58	AT23998-A138956A-R16-C13
1333	6155	0.2165718927701056	AT23998-A138956A-R05-C42	AT23998-A138956A-R05-C64
1722	6148	0.2800910865322056	AT23998-A138956A-R05-C42	AT23998-A138956A-R06-C31
2191	6128	0.3575391644908616	AT23998-A138956A-R05-C42	AT23998-A138956A-R06-C34
1875	6140	0.30537459283387625	AT23998-A138956A-R05-C42	AT23998-A138956A-R06-C54
1774	6155	0.2882209585702681	AT23998-A138956A-R05-C42	AT23998-A138956A-R07-C22
1941	6158	0.3151997401753816	AT23998-A138956A-R05-C42	AT23998-A138956A-R08-C36
1352	6156	0.21962313190383365	AT23998-A138956A-R05-C42	AT23998-A138956A-R08-C39
1937	6169	0.31398930134543684	AT23998-A138956A-R05-C42	AT23998-A138956A-R08-C41
2405	6161	0.3903587080019477	AT23998-A138956A-R05-C42	AT23998-A138956A-R08-C60
801	6146	0.13032866905304263	AT23998-A138956A-R05-C42	AT23998-A138956A-R08-C62
2214	6150	0.36	AT23998-A138956A-R05-C42	AT23998-A138956A-R08-C64
1613	6139	0.2627463756312103	AT23998-A138956A-R05-C42	AT23998-A138956A-R09-C17
944	6138	0.1537960247637667	AT23998-A138956A-R05-C42	AT23998-A138956A-R09-C18
2411	6148	0.392160052049447	AT23998-A138956A-R05-C42	AT23998-A138956A-R09-C57
1758	6148	0.285946649316851	AT23998-A138956A-R05-C42	AT23998-A138956A-R09-C63
2231	5987	0.37264072156338734	AT23998-A138956A-R05-C42	AT23998-A138956A-R09-C66
1577	6157	0.2561312327432191	AT23998-A138956A-R05-C42	AT23998-A138956A-R10-C13
2340	6156	0.38011695906432746	AT23998-A138956A-R05-C42	AT23998-A138956A-R10-C21
1278	6139	0.2081772275614921	AT23998-A138956A-R05-C42	AT23998-A138956A-R10-C27
1538	6146	0.25024406117800196	AT23998-A138956A-R05-C42	AT23998-A138956A-R10-C33
1097	6148	0.1784320104098894	AT23998-A138956A-R05-C42	AT23998-A138956A-R10-C51
2183	6137	0.3557112595730813	AT23998-A138956A-R05-C42	AT23998-A138956A-R11-C09
5248	6182	0.8489162083468134	AT23998-A138956A-R05-C42	AT23998-A138956A-R11-C39
1435	6168	0.23265239948119326	AT23998-A138956A-R05-C42	AT23998-A138956A-R12-C48
1995	6133	0.3252894179031469	AT23998-A138956A-R05-C42	AT23998-A138956A-R12-C49
1743	6157	0.28309241513724215	AT23998-A138956A-R05-C42	AT23998-A138956A-R13-C25
1819	6162	0.295196364816618	AT23998-A138956A-R05-C42	AT23998-A138956A-R13-C37
5223	6139	0.8507900309496661	AT23998-A138956A-R05-C42	AT23998-A138956A-R13-C52
2102	6129	0.34295969978789365	AT23998-A138956A-R05-C42	AT23998-A138956A-R14-C12
3779	6171	0.612380489385837	AT23998-A138956A-R05-C42	AT23998-A138956A-R14-C30
1907	6140	0.31058631921824104	AT23998-A138956A-R05-C42	AT23998-A138956A-R14-C38
1666	6153	0.2707622298065984	AT23998-A138956A-R05-C42	AT23998-A138956A-R14-C57
1498	6142	0.2438944969065451	AT23998-A138956A-R05-C42	AT23998-A138956A-R14-C65
1321	6131	0.21546240417550155	AT23998-A138956A-R05-C42	AT23998-A138956A-R15-C09
2142	6144	0.3486328125	AT23998-A138956A-R05-C42	AT23998-A138956A-R15-C10
5216	6184	0.8434670116429496	AT23998-A138956A-R05-C42	AT23998-A138956A-R15-C39
1737	6146	0.282622844126261	AT23998-A138956A-R05-C42	AT23998-A138956A-R16-C13
2020	6156	0.3281351526965562	AT23998-A138956A-R05-C64	AT23998-A138956A-R06-C31
2119	6144	0.3448893229166667	AT23998-A138956A-R05-C64	AT23998-A138956A-R06-C34
1806	6155	0.2934199837530463	AT23998-A138956A-R05-C64	AT23998-A138956A-R06-C54
1531	6147	0.24906458435008946	AT23998-A138956A-R05-C64	AT23998-A138956A-R07-C22
2126	6163	0.3449618692195359	AT23998-A138956A-R05-C64	AT23998-A138956A-R08-C36
1856	6173	0.300664182731249	AT23998-A138956A-R05-C64	AT23998-A138956A-R08-C39
1915	6183	0.30972020054989485	AT23998-A138956A-R05-C64	AT23998-A138956A-R08-C41
2713	6165	0.44006488240064884	AT23998-A138956A-R05-C64	AT23998-A138956A-R08-C60
1436	6166	0.23289004216672074	AT23998-A138956A-R05-C64	AT23998-A138956A-R08-C62
2584	6149	0.42023093185883886	AT23998-A138956A-R05-C64	AT23998-A138956A-R08-C64
1715	6161	0.2783639019639669	AT23998-A138956A-R05-C64	AT23998-A138956A-R09-C17
